escenario,diseno_ciclo,semilla,verde_s,fase,direccion,verde_inicio_s,cola_al_inicio,primer_cruce_s,start_up_lost_s
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,18.05,1,18.1,0.05
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,34.083,8,34.15,0.067
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,34.083,8,34.133,0.05
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,50.15,4,50.217,0.067
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,50.15,3,50.217,0.067
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,66.2,6,66.25,0.05
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,66.2,8,66.267,0.067
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,82.267,3,82.317,0.05
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,82.267,3,82.3,0.033
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,98.3,4,98.35,0.05
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,98.3,8,98.3,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,114.367,3,114.4,0.033
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,114.367,4,114.4,0.033
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,130.367,9,130.45,0.083
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,130.367,8,130.417,0.05
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,146.383,5,146.417,0.034
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,162.367,4,162.417,0.05
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,162.367,7,162.433,0.066
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,178.367,6,178.433,0.066
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,178.367,10,178.4,0.033
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,194.383,6,194.433,0.05
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,194.383,7,194.45,0.067
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,210.383,3,210.433,0.05
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,210.383,9,210.433,0.05
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,226.383,10,226.45,0.067
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,226.383,6,226.433,0.05
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,242.383,3,242.467,0.084
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,242.383,7,242.433,0.05
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,258.4,9,258.45,0.05
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,258.4,5,258.45,0.05
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,274.45,9,274.517,0.067
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,274.45,3,274.533,0.083
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,290.5,7,290.55,0.05
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,290.5,5,290.55,0.05
