escenario,diseno_ciclo,semilla,verde_s,fase,direccion,verde_inicio_s,cola_al_inicio,primer_cruce_s,start_up_lost_s
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,18.05,2,18.1,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,34.083,8,34.15,0.067
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,34.083,8,34.133,0.05
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,50.133,4,50.2,0.067
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,50.133,3,50.2,0.067
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,66.183,6,66.233,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,66.183,8,66.25,0.067
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,82.25,6,82.317,0.067
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,82.25,6,82.3,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,98.317,2,98.35,0.033
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,98.317,6,98.35,0.033
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,114.35,5,114.4,0.05
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,114.35,5,114.4,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,130.367,10,130.45,0.083
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,130.367,8,130.417,0.05
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,146.383,5,146.417,0.034
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,162.367,4,162.417,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,162.367,7,162.433,0.066
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,178.367,6,178.433,0.066
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,178.367,9,178.417,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,194.367,6,194.417,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,194.367,7,194.433,0.066
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,210.367,3,210.417,0.05
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,210.367,8,210.417,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,226.367,10,226.433,0.066
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,226.367,6,226.417,0.05
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,242.367,3,242.45,0.083
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,242.367,5,242.417,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,258.383,9,258.433,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,258.383,5,258.433,0.05
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,274.433,9,274.5,0.067
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,274.433,3,274.517,0.084
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,290.483,7,290.533,0.05
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,290.483,6,290.533,0.05
