escenario,diseno_ciclo,semilla,verde_s,fase,direccion,verde_inicio_s,cola_al_inicio,primer_cruce_s,start_up_lost_s
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,16.0,2,16.117,0.117
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,16.0,1,17.583,1.583
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,32.033,8,33.6,1.567
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,32.033,7,33.583,1.55
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,48.083,4,49.633,1.55
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,48.083,3,49.633,1.55
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,64.117,5,65.65,1.533
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,64.117,8,65.667,1.55
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,80.15,5,81.7,1.55
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,80.15,5,81.683,1.533
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,96.183,4,97.717,1.534
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,96.183,6,97.717,1.534
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,112.2,4,113.75,1.55
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,112.2,5,113.75,1.55
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,128.233,8,129.817,1.584
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,128.233,6,129.783,1.55
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,144.25,5,145.783,1.533
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,144.25,1,145.817,1.567
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,160.233,4,161.767,1.534
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,160.233,7,161.8,1.567
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,176.233,4,177.8,1.567
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,176.233,8,177.783,1.55
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,192.233,4,193.783,1.55
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,192.233,6,193.8,1.567
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,208.233,3,209.783,1.55
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,208.233,6,209.783,1.55
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,224.233,10,225.8,1.567
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,224.233,6,225.783,1.55
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,240.233,3,241.817,1.584
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,240.233,6,241.783,1.55
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,256.233,9,257.783,1.55
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,256.233,4,257.783,1.55
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,272.267,9,273.833,1.566
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,272.267,2,273.85,1.583
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,288.3,6,289.85,1.55
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,288.3,3,289.85,1.55
