escenario,diseno_ciclo,semilla,verde_s,fase,direccion,verde_inicio_s,cola_al_inicio,primer_cruce_s,start_up_lost_s
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,14.017,2,15.567,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,14.017,1,15.583,1.566
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,28.033,7,29.6,1.567
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,28.033,6,29.583,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,42.083,3,43.65,1.567
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,42.083,2,43.633,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,56.1,6,57.65,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,56.1,5,57.667,1.567
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,70.133,3,70.85,0.717
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,70.133,4,71.7,1.567
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,84.167,3,85.717,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,84.167,6,85.717,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,98.2,5,99.75,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,98.2,4,99.75,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,112.233,5,113.8,1.567
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,112.233,4,113.783,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,126.267,4,127.817,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,126.267,4,127.817,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,140.267,10,141.833,1.566
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,140.267,3,141.817,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,154.267,7,155.833,1.566
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,154.267,4,155.817,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,168.267,3,169.817,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,168.267,6,169.833,1.566
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,182.267,4,183.833,1.566
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,182.267,8,183.817,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,196.267,4,197.817,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,196.267,6,197.833,1.566
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,210.267,2,211.817,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,210.267,8,211.817,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,224.267,10,225.833,1.566
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,224.267,6,225.817,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,238.267,2,239.85,1.583
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,238.267,7,239.817,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,252.267,8,253.817,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,252.267,4,253.85,1.583
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,266.3,5,267.867,1.567
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,266.3,3,267.867,1.567
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,280.333,6,281.883,1.55
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,280.333,4,281.883,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,294.367,5,295.917,1.55
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,294.367,4,295.933,1.566
