escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,car,1.0,2.967,1.967,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,truck,2.033,4.517,2.483,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,bus,3.067,6.167,3.1,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,car,5.133,7.75,2.617,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bus,7.2,9.567,2.367,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,car,4.1,18.1,14.0,10.017,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bus,6.167,18.117,11.95,6.383,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,truck,11.25,18.117,6.867,1.967,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,8.217,20.05,11.833,7.7,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,truck,13.283,22.233,8.95,2.933,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bus,18.383,25.0,6.617,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,car,15.3,34.133,18.833,16.867,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bus,9.217,34.15,24.933,21.733,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,truck,10.233,34.15,23.917,20.083,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,truck,16.317,34.167,17.85,13.9,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bike,12.267,36.15,23.883,20.433,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,car,17.35,36.217,18.867,15.133,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,25.583,36.233,10.65,7.483,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,truck,20.45,36.283,15.833,12.733,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bike,14.283,38.0,23.717,19.917,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,truck,28.683,38.483,9.8,5.15,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,truck,22.517,38.5,15.983,10.683,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,26.617,38.5,11.883,8.067,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bike,35.817,39.85,4.033,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bike,31.733,40.2,8.467,5.117,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,19.417,40.333,20.917,15.517,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,truck,23.55,40.717,17.167,11.167,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,truck,21.483,42.683,21.2,14.817,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,truck,30.717,42.917,12.2,5.5,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bike,32.767,43.95,11.183,5.933,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,38.9,44.033,5.133,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,car,29.7,50.217,20.517,15.4,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bus,36.85,50.217,13.367,5.917,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,bus,24.567,50.233,25.667,20.2,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,truck,34.8,50.233,15.433,9.883,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,truck,43.0,51.417,8.417,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bike,40.95,52.2,11.25,6.733,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,car,27.65,52.367,24.717,19.5,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,truck,46.1,53.133,7.033,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,truck,44.033,53.167,9.133,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,car,37.883,54.383,16.5,10.783,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,truck,50.183,60.033,9.85,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,car,39.917,66.25,26.333,21.583,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,bus,33.783,66.267,32.483,25.067,3.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,car,47.117,66.267,19.15,14.367,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,48.15,66.267,18.117,10.683,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,car,51.217,68.267,17.05,11.783,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,car,41.983,68.417,26.433,19.833,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,52.25,68.6,16.35,8.05,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,bike,45.083,70.3,25.217,18.817,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bike,56.367,70.433,14.067,7.25,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bike,60.45,72.283,11.833,4.667,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,bus,49.167,72.717,23.55,14.167,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,2,bus,66.583,73.2,6.617,0.0,0.0
AMBER,CONSTANTE,42,10.0,Norte-Sur,up,1,car,53.283,74.483,21.2,13.0,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,1,bus,61.467,74.883,13.417,3.3,1.5
AMBER,CONSTANTE,42,10.0,Norte-Sur,down,2,bus,68.617,75.633,7.017,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bike,57.383,82.3,24.917,19.35,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bus,58.4,82.317,23.917,17.15,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,car,65.567,82.317,16.75,8.25,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,bus,63.533,82.333,18.8,11.217,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bike,67.6,84.167,16.567,10.633,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,69.65,84.267,14.617,6.383,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,car,64.55,84.483,19.933,13.033,3.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,truck,59.433,84.667,25.233,17.633,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bike,76.833,86.017,9.183,2.9,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,2,bike,74.783,86.117,11.333,2.767,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bike,71.717,86.417,14.7,8.717,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,car,73.75,86.5,12.75,5.317,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,1,bus,78.867,88.083,9.217,0.0,0.0
AMBER,CONSTANTE,42,10.0,Este-Oeste,left,2,bus,77.85,88.85,11.0,2.2,1.5
AMBER,CONSTANTE,42,10.0,Este-Oeste,right,1,bus,75.8,88.933,13.133,3.417,1.5
