escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,1.0,2.967,1.967,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,2.033,4.517,2.483,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,3.067,6.167,3.1,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,5.133,7.75,2.617,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,7.183,9.533,2.35,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,car,4.1,18.1,14.0,10.017,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,1,bus,6.167,18.117,11.95,6.4,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,truck,11.2,18.117,6.917,2.017,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,8.183,20.05,11.867,7.733,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,13.217,22.233,9.017,3.0,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,18.267,24.867,6.6,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,15.233,34.133,18.9,16.95,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,9.183,34.15,24.967,21.783,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,10.183,34.15,23.967,20.133,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,16.233,34.167,17.933,14.0,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,12.217,36.15,23.933,20.5,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,17.25,36.217,18.967,15.25,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,25.4,36.233,10.833,7.667,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,20.3,36.283,15.983,12.9,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,14.217,38.0,23.783,20.0,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,truck,28.467,38.483,10.017,5.367,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,22.333,38.5,16.167,10.867,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,26.433,38.5,12.067,8.267,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,35.583,39.6,4.017,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,31.517,40.2,8.683,5.35,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,19.283,40.333,21.05,15.667,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,23.367,40.717,17.35,11.35,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,21.317,42.683,21.367,15.0,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,30.5,42.917,12.417,5.717,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,38.65,43.783,5.133,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,32.533,43.95,11.417,6.167,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,1,car,29.483,50.2,20.717,15.6,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,36.6,50.2,13.6,6.15,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,24.383,50.217,25.833,20.367,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,34.567,50.217,15.65,10.1,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,42.733,51.133,8.4,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,2,bike,40.683,52.183,11.5,7.0,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,27.45,52.35,24.9,19.7,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,left,1,truck,45.8,52.833,7.033,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,43.75,52.883,9.133,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,37.633,54.367,16.733,11.017,1.5
AMBER,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,49.883,59.733,9.85,0.0,0.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,39.667,66.233,26.567,21.833,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,33.55,66.25,32.7,25.283,3.0
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,46.833,66.25,19.417,14.633,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,47.85,66.25,18.4,10.967,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,50.917,68.25,17.333,12.083,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,41.7,68.4,26.7,20.083,1.5
AMBER,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,51.933,68.583,16.65,8.35,1.5
