escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,1.0,2.967,1.967,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,truck,2.033,4.517,2.483,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bus,3.067,6.15,3.083,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,car,5.117,7.733,2.617,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,7.2,9.55,2.35,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,truck,11.233,16.117,4.883,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,car,4.083,17.567,13.483,9.5,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bus,6.15,17.583,11.433,5.867,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bike,8.2,19.517,11.317,7.183,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,truck,13.25,21.7,8.45,2.417,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bus,18.317,24.933,6.617,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,car,15.267,33.583,18.317,16.35,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,9.2,33.6,24.4,21.2,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,truck,10.217,33.6,23.383,19.55,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,truck,16.283,33.617,17.333,13.4,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bike,12.233,35.6,23.367,19.917,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,17.3,35.667,18.367,14.65,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bike,25.5,35.683,10.183,7.017,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,truck,20.383,35.733,15.35,12.267,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bike,14.267,37.45,23.183,19.4,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,truck,28.567,37.933,9.367,4.7,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,truck,22.433,37.95,15.517,10.233,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bus,26.533,37.95,11.417,7.617,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bike,31.633,39.65,8.017,4.683,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bike,35.717,39.733,4.017,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bus,19.35,39.783,20.433,15.033,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,truck,23.45,40.167,16.717,10.7,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,truck,21.4,42.133,20.733,14.35,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,truck,30.617,42.367,11.75,5.05,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bike,32.65,43.4,10.75,5.483,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bus,38.783,43.917,5.133,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,car,29.6,49.633,20.033,14.917,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bus,36.733,49.633,12.9,5.45,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bus,24.483,49.65,25.167,19.7,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,truck,34.7,49.65,14.95,9.4,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,truck,42.85,51.25,8.4,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bike,40.817,51.617,10.8,6.3,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,car,27.55,51.783,24.233,19.033,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,truck,45.933,52.983,7.05,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,truck,43.867,53.0,9.133,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,car,37.767,53.8,16.033,10.317,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,truck,50.05,59.9,9.85,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,car,39.8,65.65,25.85,21.117,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bus,33.683,65.667,31.983,24.567,3.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,car,46.967,65.667,18.7,13.917,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bus,47.983,65.667,17.683,10.233,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,car,51.083,67.667,16.583,11.333,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,41.833,67.817,25.983,19.383,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bus,52.1,68.0,15.9,7.617,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bike,44.9,69.7,24.8,18.383,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bike,56.167,69.833,13.667,6.833,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bike,60.267,71.683,11.417,4.233,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bus,49.017,72.117,23.1,13.7,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bus,66.433,73.05,6.617,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,53.117,73.883,20.767,12.583,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bus,61.3,74.283,12.983,2.867,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,68.467,75.483,7.017,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bike,54.133,75.617,21.483,13.65,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bike,57.2,81.683,24.483,18.917,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bus,58.217,81.7,23.483,16.733,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,car,65.417,81.7,16.283,7.783,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bus,63.367,81.717,18.35,10.767,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bike,67.45,83.55,16.1,10.167,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bike,69.5,83.65,14.15,5.933,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,car,64.383,83.867,19.483,12.583,3.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,truck,59.233,84.05,24.817,17.2,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bike,76.633,85.4,8.767,2.483,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bike,74.583,85.5,10.917,2.333,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bike,71.533,85.8,14.267,8.283,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,car,73.567,85.883,12.317,4.9,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bus,78.667,87.883,9.217,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bus,77.65,88.233,10.583,1.783,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bus,75.617,88.317,12.7,3.0,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bike,83.75,91.6,7.85,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,bus,81.717,91.767,10.05,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bike,72.55,97.717,25.167,19.8,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bike,82.733,97.717,14.983,9.083,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bike,84.767,97.717,12.95,4.817,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bus,55.15,97.75,42.6,31.233,3.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,truck,85.783,99.717,13.933,5.45,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,62.333,99.9,37.567,27.783,3.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,70.517,101.9,31.383,21.117,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,87.833,101.917,14.083,5.017,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,79.683,103.917,24.233,13.45,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,80.7,105.933,25.233,13.933,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,truck,95.983,106.0,10.017,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,88.867,107.933,19.067,7.267,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bike,86.817,113.75,26.933,18.017,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,car,92.933,113.75,20.817,12.1,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,truck,89.883,113.783,23.9,12.733,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bus,102.1,114.633,12.533,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,bike,90.9,115.383,24.483,15.767,3.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,car,93.95,115.767,21.817,12.583,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,1,car,91.917,117.433,25.517,15.567,3.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,truck,104.133,117.65,13.517,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,car,94.967,117.767,22.8,13.067,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,car,100.05,119.783,19.733,9.467,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,1,car,101.083,121.8,20.717,9.95,1.5
CONTROL,CONSTANTE,42,12.0,Este-Oeste,left,2,bike,116.383,123.317,6.933,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Este-Oeste,right,2,bike,113.333,123.733,10.4,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,bike,98.017,129.783,31.767,20.683,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,bike,105.167,129.783,24.617,18.9,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,truck,97.0,129.817,32.817,21.25,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,truck,99.033,129.817,30.783,20.05,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,car,106.183,131.683,25.5,18.75,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,108.217,131.683,23.467,10.733,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,truck,103.117,132.017,28.9,16.617,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,109.25,132.017,22.767,11.45,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,1,car,112.317,133.683,21.367,8.15,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,car,114.35,133.7,19.35,12.083,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,car,107.2,133.917,26.717,16.267,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,bus,110.267,134.35,24.083,11.9,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,up,2,truck,126.583,136.3,9.717,0.0,0.0
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bus,118.417,136.35,17.933,4.433,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,truck,111.3,136.683,25.383,12.25,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,2,car,120.45,138.25,17.8,6.667,1.5
CONTROL,CONSTANTE,42,12.0,Norte-Sur,down,1,bus,122.5,138.683,16.183,1.833,1.5
