escenario,diseno_ciclo,semilla,verde_s,fase,direccion,carril,tipo,spawn_s,cruce_s,demora_total_s,idle_time_s,prt_gastado_s
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,1.017,2.967,1.95,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,2.033,4.517,2.483,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,3.067,6.167,3.1,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,car,5.117,7.733,2.617,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,7.167,9.517,2.35,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,car,4.1,15.567,11.467,7.5,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,bus,6.15,15.583,9.433,3.883,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,truck,11.183,16.083,4.9,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bike,8.167,17.517,9.35,5.217,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,13.217,19.25,6.033,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,15.233,29.583,14.35,12.4,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bus,9.167,29.6,20.433,17.25,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,10.167,29.6,19.433,15.6,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,16.233,29.617,13.383,9.45,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,12.2,31.6,19.4,15.95,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,17.25,31.667,14.417,10.683,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,25.467,31.683,6.217,3.067,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,truck,20.333,31.733,11.4,8.3,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,truck,28.517,33.183,4.667,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,14.233,33.45,19.217,15.433,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,22.383,33.95,11.567,6.283,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,26.483,33.95,7.467,3.667,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bike,31.583,34.933,3.35,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,19.317,35.783,16.467,11.083,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,23.4,36.167,12.767,6.75,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,truck,30.567,37.267,6.7,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,1,car,29.55,43.633,14.083,8.967,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,18.283,43.65,25.367,18.75,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,24.433,43.65,19.217,13.733,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,truck,34.667,43.65,8.983,3.433,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,left,2,bike,40.8,45.317,4.517,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,27.5,45.783,18.283,13.083,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,bus,36.7,45.983,9.283,1.85,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,car,37.733,47.8,10.067,4.35,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,2,truck,42.85,51.25,8.4,0.0,0.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,bike,35.683,57.65,21.967,17.95,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,33.65,57.667,24.017,16.6,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,truck,21.367,57.683,36.317,29.95,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,bus,38.75,57.683,18.933,13.783,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,39.783,59.533,19.75,15.017,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,32.617,59.65,27.033,21.767,3.0
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,41.833,59.817,17.983,11.383,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,2,car,46.933,59.833,12.9,8.117,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,2,car,51.017,61.55,10.533,5.283,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bike,44.883,61.7,16.817,10.417,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,47.95,61.85,13.9,6.467,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,bus,48.967,64.117,15.15,5.767,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bus,52.033,64.183,12.15,3.867,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,down,1,bike,56.1,65.683,9.583,2.767,1.5
CONTROL,EXTENDIDO,42,10.0,Norte-Sur,up,1,car,53.05,65.883,12.833,4.65,1.5
CONTROL,EXTENDIDO,42,10.0,Este-Oeste,right,1,bus,63.25,70.85,7.6,0.0,0.0
